10,5.6875E-5,7.333E-6,1.3667E-5,5.875E-6,4.209E-6,5.583E-6,5.958E-6,3.625E-6,5.542E-6
20,2.23833E-4,1.7208E-5,1.7375E-5,1.0E-5,7.0E-6,1.0083E-5,4.8958E-5,7.917E-6,9.3375E-5
30,5.375E-5,1.7958E-5,2.0417E-5,1.7208E-5,1.0542E-5,1.8042E-5,1.2959E-5,8.292E-6,1.7542E-5
40,6.8667E-5,2.55E-5,2.3417E-5,1.9333E-5,1.2875E-5,1.7959E-5,2.2917E-5,1.2416E-5,1.6125E-5
50,9.0334E-5,2.5E-5,3.775E-5,2.2333E-5,1.3208E-5,2.375E-5,2.0792E-5,1.6542E-5,2.0167E-5
60,7.8209E-5,2.8667E-5,3.3459E-5,3.0667E-5,1.95E-5,3.2584E-5,2.8375E-5,1.9208E-5,3.6584E-5
70,7.0042E-5,1.30292E-4,1.0875E-4,3.2792E-5,7.2875E-5,6.3291E-5,2.7958E-5,6.8833E-5,2.0958E-5
80,6.7917E-5,2.9583E-5,4.15E-5,3.8292E-5,2.4375E-5,3.3708E-5,2.9083E-5,1.3125E-5,2.3292E-5
90,9.2375E-5,1.00208E-4,5.0625E-5,3.8958E-5,2.8042E-5,4.1458E-5,3.6542E-5,2.4667E-5,3.6375E-5
100,1.00834E-4,4.9042E-5,5.625E-5,4.4834E-5,2.9833E-5,5.2083E-5,5.7125E-5,3.1083E-5,4.575E-5
110,3.24E-4,9.425E-5,1.04833E-4,1.19416E-4,4.1333E-5,6.4375E-5,7.7292E-5,3.6E-5,6.9E-5
120,2.25334E-4,5.8208E-5,6.075E-5,5.7375E-5,2.7458E-5,3.7042E-5,4.1708E-5,2.05E-5,3.4792E-5
